n,deg
"{""tagid"":""h3"",""hashtag"":""paris""}",719571
"{""tagid"":""h2"",""hashtag"":""prayforparis""}",368931
"{""tagid"":""h5"",""hashtag"":""parisattacks""}",206159
"{""tagid"":""h19"",""hashtag"":""prayers4paris""}",52805
"{""tagid"":""h8"",""hashtag"":""bataclan""}",51524
"{""tagid"":""h4433"",""hashtag"":""rechercheparis""}",46333
"{""tagid"":""h48"",""hashtag"":""prayersforparis""}",31736
"{""tagid"":""h43"",""hashtag"":""france""}",31605
"{""tagid"":""h12"",""hashtag"":""porteouverte""}",30484
"{""tagid"":""h21"",""hashtag"":""fusillade""}",27833
"{""tagid"":""h25"",""hashtag"":""pray4paris""}",19999
"{""tagid"":""h352"",""hashtag"":""vivelafrance""}",16258
"{""tagid"":""h200"",""hashtag"":""notafraid""}",16028
"{""tagid"":""h56"",""hashtag"":""breaking""}",15314
"{""tagid"":""h397"",""hashtag"":""todossomosparis""}",14775
"{""tagid"":""h125"",""hashtag"":""isis""}",14278
"{""tagid"":""h159"",""hashtag"":""twibbon""}",14222
"{""tagid"":""h7"",""hashtag"":""jesuisparis""}",12768
"{""tagid"":""h13"",""hashtag"":""parisattack""}",12142
"{""tagid"":""h99"",""hashtag"":""prayforpeace""}",11598
"{""tagid"":""h30"",""hashtag"":""afp""}",11549
"{""tagid"":""h1"",""hashtag"":""prayforjapan""}",11534
"{""tagid"":""h44"",""hashtag"":""prayforworld""}",11515
"{""tagid"":""h108"",""hashtag"":""beirut""}",11153
"{""tagid"":""h42"",""hashtag"":""parisshooting""}",10909
"{""tagid"":""h187"",""hashtag"":""noussommesunis""}",10750
"{""tagid"":""h89"",""hashtag"":""news""}",10656
"{""tagid"":""h14"",""hashtag"":""solidarity""}",10368
"{""tagid"":""h4"",""hashtag"":""tcot""}",9494
"{""tagid"":""h50"",""hashtag"":""aldubhappybdaylola""}",8114
"{""tagid"":""h51"",""hashtag"":""prayfortheworld""}",7966
"{""tagid"":""h102"",""hashtag"":""peace""}",7776
"{""tagid"":""h208"",""hashtag"":""peaceforparis""}",7622
"{""tagid"":""h495"",""hashtag"":""syria""}",6744
"{""tagid"":""h1411"",""hashtag"":""muslimsarenotterrorist""}",5604
"{""tagid"":""h47"",""hashtag"":""attentats""}",5590
"{""tagid"":""h179"",""hashtag"":""rip""}",5385
"{""tagid"":""h156"",""hashtag"":""attentatparis""}",5323
"{""tagid"":""h8063"",""hashtag"":""mtvstars""}",5293
"{""tagid"":""h70"",""hashtag"":""rt""}",5180
"{""tagid"":""h130"",""hashtag"":""pray""}",5134
"{""tagid"":""h137"",""hashtag"":""parigi""}",5122
"{""tagid"":""h514"",""hashtag"":""love""}",4953
"{""tagid"":""h6"",""hashtag"":""باريس""}",4941
"{""tagid"":""h85"",""hashtag"":""fusilladeparis""}",4842
"{""tagid"":""h148"",""hashtag"":""francia""}",4755
"{""tagid"":""h569"",""hashtag"":""demdebate""}",4701
"{""tagid"":""h129"",""hashtag"":""baghdad""}",4646
"{""tagid"":""h27"",""hashtag"":""attaquesparis""}",4496
"{""tagid"":""h442"",""hashtag"":""mizzou""}",4289
"{""tagid"":""h128"",""hashtag"":""japan""}",3956
"{""tagid"":""h209"",""hashtag"":""islam""}",3912
"{""tagid"":""h24"",""hashtag"":""muslims""}",3758
"{""tagid"":""h5205"",""hashtag"":""dondusang""}",3674
"{""tagid"":""h147"",""hashtag"":""jesuiparis""}",3543
"{""tagid"":""h149"",""hashtag"":""franceunderattack""}",3487
"{""tagid"":""h422"",""hashtag"":""terrorismhasnoreligion""}",3363
"{""tagid"":""h396"",""hashtag"":""periscope""}",3182
"{""tagid"":""h2083"",""hashtag"":""solidaritywithparis""}",3091
"{""tagid"":""h71"",""hashtag"":""staystrongparis""}",2907
"{""tagid"":""h390"",""hashtag"":""help""}",2864
"{""tagid"":""h127"",""hashtag"":""lebanon""}",2842
"{""tagid"":""h4062"",""hashtag"":""recherche""}",2753
"{""tagid"":""h41"",""hashtag"":""attentat""}",2702
"{""tagid"":""h45"",""hashtag"":""13novembre""}",2629
"{""tagid"":""h64"",""hashtag"":""standwithparis""}",2597
"{""tagid"":""h194"",""hashtag"":""attentatsparis""}",2589
"{""tagid"":""h143"",""hashtag"":""palestine""}",2589
"{""tagid"":""h383"",""hashtag"":""update""}",2568
"{""tagid"":""h122"",""hashtag"":""usafricabf""}",2565
"{""tagid"":""h82"",""hashtag"":""solidarité""}",2528
"{""tagid"":""h192"",""hashtag"":""peaceinparis""}",2516
"{""tagid"":""h16192"",""hashtag"":""greece""}",2472
"{""tagid"":""h87"",""hashtag"":""ssnhq""}",2434
"{""tagid"":""h239"",""hashtag"":""prayforfrance""}",2427
"{""tagid"":""h522"",""hashtag"":""fraall""}",2397
"{""tagid"":""h100"",""hashtag"":""terrorism""}",2358
"{""tagid"":""h1212"",""hashtag"":""dienachrichten""}",2323
"{""tagid"":""h233"",""hashtag"":""terror""}",2323
"{""tagid"":""h22762"",""hashtag"":""muslimsarenotterorist""}",2301
"{""tagid"":""h34383"",""hashtag"":""unebougiepourparis""}",2298
"{""tagid"":""h41237"",""hashtag"":""1dldnsession""}",2259
"{""tagid"":""h37"",""hashtag"":""pjnet""}",2245
"{""tagid"":""h59"",""hashtag"":""showtimeharana""}",2227
"{""tagid"":""h84"",""hashtag"":""breakingnews""}",2128
"{""tagid"":""h61"",""hashtag"":""prayerforparis""}",2126
"{""tagid"":""h30237"",""hashtag"":""tv2newsdk""}",2123
"{""tagid"":""h974"",""hashtag"":""french""}",2034
"{""tagid"":""h214"",""hashtag"":""prayforchicago""}",2020
"{""tagid"":""h62"",""hashtag"":""prayingforparis""}",2004
"{""tagid"":""h11788"",""hashtag"":""parisisaboutlife""}",1993
"{""tagid"":""h1223"",""hashtag"":""nyc""}",1961
"{""tagid"":""h229"",""hashtag"":""hollande""}",1956
"{""tagid"":""h326"",""hashtag"":""parisjetaime""}",1914
"{""tagid"":""h275"",""hashtag"":""ankara""}",1912
"{""tagid"":""h718"",""hashtag"":""world""}",1844
"{""tagid"":""h109"",""hashtag"":""iraq""}",1834
"{""tagid"":""h110"",""hashtag"":""prayforlebanon""}",1831
"{""tagid"":""h15149"",""hashtag"":""terörehayır""}",1812
"{""tagid"":""h2252"",""hashtag"":""iran""}",1798